id,wave,fit,prefecture,city,company,address,tel,fax,email,instagram,website,contact_form,other_sns,representative,employees,trucks,size_note,best_channel,source,notes
OKH-001,1,high,大阪府,門真市,ITP株式会社,〒571-0032 大阪府門真市寿町20-27 Edel Buro 501,06-6916-7666,06-6916-8879,,,https://i-tp.co.jp/,https://i-tp.co.jp/contact/,,西山 剛,12,10,公式会社概要: 従業員12名・保有車両10台（冷凍冷蔵中心）,form,https://i-tp.co.jp/company/companyoutline/,車庫 門真市桑才新町33-10 TEL 06-4397-7972。冷凍食品配送。規模がターゲットに最も近い。
OKH-002,1,high,大阪府,大阪市此花区,有限会社アルディック,〒554-0052 大阪市此花区常吉2-11-47,06-6468-7772,06-6464-5108,ochi@aldic.co.jp,,https://aldic.co.jp/,https://aldic.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,越智 隆之,14,13,公式: 従業員14名。車両=トレーラー2+大型1+4t×8+3t×1+1t×1（フォーク除く）,email,https://aldic.co.jp/%e4%bc%9a%e7%a4%be%e6%a6%82%e8%a6%81/,ハローワーク求人票にも ochi@aldic.co.jp が担当メールとして掲載。
OKH-003,1,high,大阪府,東大阪市,宝伸有限会社,大阪府東大阪市本庄1-13-14,072-968-6102,072-968-6103,info@hoshin-cargo.com,https://www.instagram.com/hoshin1717/,https://www.hoshin-cargo.com/,,,三宅 秀樹,14,12,公式会社概要: 従業員14人・車両台数12台,email,https://www.hoshin-cargo.com/company/,Instagram @hoshin1717。メールとDMの両方可。2t〜トレーラーまで保有。
OKH-004,1,high,大阪府,枚方市,大阪ライン有限会社,〒573-0122 大阪府枚方市津田東町1-26-5,072-808-5060,072-808-5061,,,https://osakaline.co.jp/,,,一宮 將人,14,15,公式: 従業員14名。13t平1 / 4tW5 / 4t平1 / 2t平8 = 15台,tel,https://osakaline.co.jp/%e4%bc%9a%e7%a4%be%e6%a6%82%e8%a6%81/,東大阪倉庫 TEL 06-6753-7101。大正支部リンクにも社名あり。
OKH-005,1,high,大阪府,大阪市大正区,清家運送有限会社,〒551-0021 大阪市大正区南恩加島5-3-5,06-6551-4343,06-6551-2207,,,https://www.seikeunsou.co.jp/,,,清家 学,18,15,公式: 従業員18名。トレーラー3+4tユニック2+3tユニック5+2tユニック1+PG4,tel,https://www.seikeunsou.co.jp/company,大阪府ト協会西支部会員。鋼材・エレベーター部材。メール未掲載。
OKH-006,1,high,兵庫県,神戸市北区,有限会社スミレ運輸,〒651-1351 神戸市北区八多町中1170,078-950-2009,078-950-2323,,,http://www.kobesumirenet.com/,http://www.kobesumirenet.com/,,山脇 利男,14,12,公式: 大型冷凍冷蔵車11台+大型トレーラー1台。被保険者約14名,tel,http://www.kobesumirenet.com/category/1504598.html,担当: 山脇。冷凍冷蔵地場。問い合わせフォームあり。
OKH-007,1,high,兵庫県,姫路市,有限会社姫路キャリー,〒671-1101 姫路市広畑区東夢前台4-96-2,079-239-2554,079-239-5585,info@himeji-carry.com,,http://himeji-carry.com/,,,,5,,公開企業情報: 被保険者5名。軽〜4tの小口・急送中心,email,http://himeji-carry.com/toiawase.html,24時間受付と明記。車両10台規模より小さいが、トラックキャビン清掃の導入はしやすい。
OKH-008,1,high,大阪府,八尾市,河本運送有限会社,〒581-0042 大阪府八尾市南木の本5-5,072-922-2727,,,https://www.instagram.com/kawamoto_unsou/,https://www.kawamoto-unsou-yao.com/,,X @kawamoto_unsou,,23,,被保険者約23名。食品配送。公式がSNSのDM問い合わせを案内,instagram,https://www.kawamoto-unsou-yao.com/,電話は公式・電話帳で0729-22-2727表記あり。DM歓迎と明記。規模はやや上。
OKH-009,1,high,大阪府,大阪市住吉区,有限会社エムシイエス,大阪市住吉区南住吉1-6-3 MCSビル2F,06-6691-4471,06-6691-4470,,https://www.instagram.com/mcs_634/,https://mcs.jpn.com/,,,,,,重量物・クレーン。公式Instagram @mcs_634,instagram,https://mcs.jpn.com/,車庫: 堺市美原区大保232-1。特殊車両中心。キャビン汚れが出やすい車種。
OKH-010,1,high,大阪府,東大阪市,株式会社奥辰運輸,〒577-0066 大阪府東大阪市高井田本通7-1-23,06-6781-7007,06-6781-7023,,,https://okutatsu-unyu.com/,https://okutatsu-unyu.com/about,,井岡 晋,22-35,10+,公式: 大型ウイング10台。ハローワークは従業員22〜35名と幅あり,form,https://okutatsu-unyu.com/about,サイトに『営業電話お断り』。メールフォームのみ。
OKH-011,1,medium,大阪府,大阪市大正区,筑前運輸株式会社,〒551-0002 大阪市大正区三軒家東4-12-9,06-6551-3030,06-6551-3034,,,https://www.chikuzen-unyu.com/,,,岡野 信正,26,20,公式: トレーラー11+10t×7+6t×2、従業員26人,tel,https://www.chikuzen-unyu.com/,大正支部。鋼材。ターゲットよりやや大きいが地場の中堅。
OKH-012,1,medium,大阪府,茨木市,有限会社ミナミ（茨木）,〒567-0815 大阪府茨木市竹橋町1-21-2,072-628-9702,072-628-9703,,,https://minami-m3.com/,https://minami-m3.com/pages/5/,,佐和 崇,20,20,公式: 従業員20名。4t系ウイング/冷凍等 2+4+1+7+2+3+1=20台,form,https://minami-m3.com/pages/17/,西堀江の（有）ミナミ（南港）とは別法人。雑貨・医薬品。
OKH-013,1,high,兵庫県,姫路市,株式会社フィールドジャパン,〒670-0955 姫路市安田4-35 カトウビル4F,079-287-8444,,,,,,,,9,,ハローワーク: 企業全体9人。コンビニ等食品ルート配送,tel,https://helloworkplus.com/job/28050-17217361/,2017年創業。HPなし。電話は求人票掲載値のため発信前に再確認。
OKH-014,1,high,大阪府,大阪市浪速区,柴崎運送株式会社,〒556-0022 大阪市浪速区桜川4-5-17,06-6561-0293,,,,,,,,5,,ハローワーク: 企業全体5人。溶接材料商社専属,tel,https://ricareer.jp/hellowork/27030-19448661/,超小型。キャビン清掃の導入判断が速い層。
OKH-015,1,high,大阪府,大阪市北区,袖川運送店,〒530-0043 大阪市北区天満3-5-16,06-6352-0734,,,,,,,,14,,ハローワーク: 企業全体14人（就業13人）。1953年創業,tel,https://www.mapion.co.jp/phonebook/M21006/27127/22733109648/,車庫は西淀川区竹島側の求人あり。
OKH-016,1,low,兵庫県,神戸市兵庫区,株式会社福住,〒652-0813 神戸市兵庫区兵庫町1-4-26,0120-11-4021,,info@fukuzumi-m.com,,https://www.fukuzumi-m.com/,,,福住 正則,38,26,公開求人・企業情報で従業員約38名・車両約26台。ターゲットより大きい,email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,協会PDF掲載メール。規模は中堅。優先度は下げる。
OKH-017,1,medium,兵庫県,神戸市兵庫区,平戸梱包運送株式会社（ヒカリ引越センター）,〒652-0882 神戸市兵庫区芦原通4-2-27,078-651-6950,,info@8144.co.jp,,http://www.8144.co.jp/,,,平戸 伸和,,,兵ト協引越部会。創業70年超の地域引越,email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,協会PDF掲載メール。
OKH-018,1,medium,兵庫県,神戸市東灘区,松本運送株式会社（ホームハンズ）,〒658-0044 神戸市東灘区御影塚町1-10-7,078-843-0450,,info@homehands.co.jp,,https://www.homehands.co.jp/,,,松本 賢吾,,,兵ト協引越部会。阪神間の引越,email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,協会PDF掲載メール。ブランド名ホームハンズ / はこびー。
OKH-019,1,low,兵庫県,神戸市東灘区,株式会社ブレックス,〒658-0012 神戸市東灘区本庄町2-4-12,0120-06-1954,,info@blex.co.jp,https://www.instagram.com/blexkobe/,https://www.blex.co.jp/,http://www.blex.co.jp/contact/inquiry/,Facebook https://www.facebook.com/blexkobe ; X https://twitter.com/blexkobe,大久保 尚男,85,,公開情報で従業員約85名。ターゲットより大きい,email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,公式IG @blexkobe。規模が大きいため第1波の優先度は低い。
OKH-020,1,low,兵庫県,尼崎市,堀部運送株式会社,〒661-0012 尼崎市南塚口町2-12-21,0120-88-1290,,mitsumori@horibe-unso.co.jp,,http://www.horibe-unso.co.jp/,,,外薗 英広,62,46,公開情報で従業員約62名・車両約46台。ターゲットより大きい,email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,協会PDFの見積メール。代表TEL 06-6429-1292。規模が大きいため優先度は低い。
OKH-021,1,medium,兵庫県,神戸市西区,株式会社シティ・サービス,〒651-2111 神戸市西区池上1-14-2,0120-02-0011,078-976-6644,hikkoshi.0011@city020011.jp,,https://cityserviceco.com/,https://cityserviceco.com/contact/,,小原 美子,,,"兵ト協引越部会。資本金1,000万円。女性代表。地場引越",email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,協会PDF掲載メール。新サイト cityserviceco.com。問い合わせフォームに宣伝お断り。電話営業はしない。
OKH-022,1,medium,兵庫県,神戸市兵庫区,兵庫貨物運輸作業株式会社,〒652-0882 神戸市兵庫区芦原通2-2-24,0120-19-5444,,hku@chive.ocn.ne.jp,,,,,廣瀬 義一,,,兵ト協引越部会（ヤマサ引越）,email,http://www.hyotokyo.or.jp/hikkoshiguidebook/pdf/hikkosibukai-meibo.pdf,協会PDF掲載のOCNメール。
